atom_index_0based,atom_index_1based,element,initial_distance_from_vacancy_A,final_distance_from_vacancy_A,radial_change_A,displacement_A,dx_A,dy_A,dz_A
8,9,Zn,6.47637243984007,6.494112774140343,0.017740334300273553,0.017859763895630612,-1.4550000009515285e-07,0.0033627240000006567,-0.017540332199998954
172,173,O,8.918069504770893,8.906783403021848,-0.011286101749044875,0.0149401022082269,4.912999999200068e-07,-6.680000095371634e-08,0.014940102199999448
42,43,In,6.610001596803818,6.616001965543651,0.006000368739832673,0.012788829126785934,-6.947999991444821e-07,4.4989999999571626e-07,-0.01278882909999861
38,39,In,6.6100015877438,6.615385080460358,0.005383492716558358,0.011474894025266595,4.374999997771112e-07,-6.233000003312769e-07,-0.01147489399999799
122,123,O,7.403085410673647,7.3963318447288335,-0.006753565944813467,0.010995434830143527,-7.500000011719982e-07,3.1680000009358065e-07,-0.010995434800000915
36,37,In,4.577901216988087,4.584020565357502,0.0061193483694150785,0.010066342985691605,-0.008971707199999887,0.00041780230000001804,-0.004545896199999232
44,45,In,4.577901854805104,4.584020791630672,0.006118936825568078,0.010066005907692346,-0.004847691999999236,0.007560608300000473,-0.004545498800000347
41,42,In,4.577901854805103,4.584020217060357,0.006118362255254084,0.01006494129619695,0.004847204600000139,0.007559601399999703,-0.004545335799998802
43,44,In,4.577901560507828,4.584020903137982,0.006119342630153568,0.010064532676324496,0.004123045200000857,-0.007976242799999835,-0.004546962399998948
37,38,In,4.5779015605078275,4.584019838900827,0.006118278392999166,0.010064356859123923,-0.004123187199999924,-0.007976933200000013,-0.0045452330000000105
39,40,In,4.577901216988088,4.5840201683085855,0.006118951320497779,0.010063908926598612,0.00896896809999898,0.00041693679999997986,-0.004545991400000409
135,136,O,8.466325443632437,8.459359432217425,-0.006966011415011408,0.008730634692971822,-1.0668000002391018e-06,0.0021040872999993896,-0.008473299099998903
140,141,O,8.466325363972848,8.45935933480679,-0.006966029166058263,0.008730618387936182,-0.0018229283999996282,-0.0010513716999995403,-0.008473207599999203
134,135,O,8.466325363972848,8.459361854206096,-0.006963509766752196,0.008728118815731475,0.0018221020000002697,-0.0010518870000004667,-0.008470745899999058
62,63,Ga,8.91694599453563,8.925625693644706,0.0086796991090754,0.008715483503819689,-6.8010000100799e-07,0.001124460099999831,0.008642640899998418
58,59,Ga,8.916945835021878,8.925625466204718,0.008679631182840097,0.008715412934653825,-0.0009740081999998118,-0.000561920100000125,0.00864256769999982
61,62,Ga,8.916945835021878,8.925625269935635,0.008679434913757333,0.008715144007615198,0.0009743055000001662,-0.0005629050000006749,0.008642198899997313
0,1,Zn,8.042284336130438,8.04892949431445,0.006645158184012345,0.008561432787249041,-0.0006885193000003726,0.0003977134,-0.008524429399999176
1,2,Zn,8.042284419990194,8.048929477969487,0.006645057979293156,0.00856129855927563,1.919999997408088e-07,-0.000795481200000391,-0.008524261999999585
6,7,Zn,8.04228433613044,8.048929350602993,0.006645014472553612,0.008560902724327833,0.0006889931000006193,0.000397528,-0.008523867399999325
88,89,O,8.939269544435609,8.931072391226783,-0.00819715320882608,0.008312877326929183,-0.00037817109999971647,0.00021806629999980936,0.008301407300000565
85,86,O,8.939269544435609,8.93107236797513,-0.008197176460479128,0.008312784184309112,0.00037889760000014007,0.00021818050000001017,0.008301277900000311
89,90,O,8.939269703551012,8.931072645766713,-0.008197057784299133,0.008312665972432522,2.2149999961252427e-07,-0.00043720690000010264,0.008301160500000442
160,161,O,4.379135293281997,4.371922825010518,-0.007212468271478478,0.008012282099876658,-1.3405000002467832e-06,-0.00481686809999986,0.00640269040000119
152,153,O,4.379134438563516,4.371922272686644,-0.007212165876872234,0.008011986899168893,0.004170775100000051,0.0024092509000000237,0.006402505699999228
158,159,O,4.379134438563517,4.371923686388818,-0.007210752174699131,0.008010848727145616,-0.004170158599998832,0.002407522599999957,0.0064021332000010565
174,175,O,6.740145,6.732198995900027,-0.007946004099973258,0.00794600412224212,4.859000007019622e-07,3.426000001161671e-07,0.007946004099999899
17,18,Zn,4.225989542956419,4.230625042819483,0.004635499863064219,0.007668101324403032,-0.0036947239999991803,0.005613640799999495,0.003692672400000117
9,10,Zn,4.225988852026234,4.230624297091512,0.004635445065278354,0.0076680652821522755,-0.006708909199999595,0.0003929252000000471,0.0036926105000006128
84,85,O,9.553952554720482,9.547909270254133,-0.006043284466349164,0.00766707163276236,8.465000005774929e-07,-0.0018444054000003956,0.007441918800000199
83,84,O,9.553952848298323,9.547909584332059,-0.006043263966263979,0.007667041995764418,0.0015974956999986994,0.0009218429000006339,0.007441891300000244
