atom_index_0based,atom_index_1based,element,initial_distance_from_vacancy_A,final_distance_from_vacancy_A,radial_change_A,displacement_A,dx_A,dy_A,dz_A
135,136,O,8.466325443632437,8.463474951584962,-0.0028504920474752282,0.003647543615376646,-2.6098200000123782e-05,0.001394603399999961,-0.0033703077999999104
15,16,Zn,6.371336071398057,6.369960474374993,-0.0013755970230633352,0.003426929314950816,1.1640099999710803e-05,-6.749199999947194e-06,-0.003426902900001782
108,109,O,6.629629815698762,6.627678204322292,-0.0019516113764703746,0.003247052261883087,2.052579999977256e-05,0.0019016294999998126,0.0026318685999997997
113,114,O,6.6296297139700044,6.627678207539326,-0.0019515064306787622,0.003245670898896073,-0.0016352504999982813,-0.0009701176000003063,0.0026304385999992206
107,108,O,6.6296297139700044,6.6277267641898066,-0.0019029497801978934,0.003214399079317567,0.0016671714000000735,-0.000963634500000127,0.0025737734000002644
187,188,O,4.369818453485796,4.370767517784344,0.0009490642985481301,0.002912208645840905,6.917580000070285e-05,-0.0004053874999993704,0.0028830253000015522
179,180,O,4.369817596944979,4.370765317795469,0.0009477208504895529,0.0029120005377572386,0.0003891172000000162,0.00013930710000008756,0.0028825212000004718
42,43,In,6.610001596803818,6.611350509839206,0.0013489130353878664,0.0029059761162418614,2.526549999870208e-05,-1.4094299999985878e-05,-0.0029058320999991475
185,186,O,4.369817596944979,4.3707711508653055,0.0009535539203264776,0.0028772043872396375,-0.00033374589999885277,0.0001903696999998273,0.0028514344000006298
170,171,O,7.536379917072255,7.538446866369776,0.002066949297521603,0.0027121579451183067,0.0005987882000004632,-0.0021620725999999344,-0.001524039200000474
178,179,O,7.53638030450806,7.538445985059599,0.0020656805515386623,0.0027107145500715577,0.0021707909000002507,0.0005618464000003088,-0.0015231444000003553
175,176,O,7.53638030450806,7.538471031444679,0.0020907269366192693,0.0027047480986212395,-0.002138081199999482,0.00057581569999957,-0.0015532892000004353
171,172,O,7.536380125740009,7.538469535934327,0.0020894101943182974,0.0027020545005569238,-0.0015655697000001361,0.0015616100000001127,-0.001552889000000019
173,174,O,7.536379917072255,7.538383076269642,0.0020031591973870277,0.0026510810740396846,-0.0006043032000006081,-0.0021203072999999165,-0.001472190700000342
177,178,O,7.53638012574001,7.538382852335892,0.002002726595882187,0.0026506428498495435,0.001534192400000366,0.0015831591999997104,-0.0014716549000006432
61,62,Ga,8.916945835021878,8.919529721201739,0.0025838861798614943,0.002650503687351187,0.0009875498000001658,-0.0005703357000002382,0.0023926203999981087
58,59,Ga,8.916945835021878,8.91950517743016,0.0025593424082828165,0.0026298361026745654,-0.0010013876999996985,-0.0005633127000003971,0.0023655737999982423
62,63,Ga,8.91694599453563,8.9195046013888,0.0025586068531691097,0.0026291206824315314,-1.3083800000797375e-05,0.0011487199999998658,0.002364856600000746
1,2,Zn,8.042284419990194,8.040430100008862,-0.0018543199813318978,0.0023901146565486597,1.1541599999848894e-05,0.00011140099999976989,0.0023874892000001198
6,7,Zn,8.04228433613044,8.04043123368937,-0.0018531024410695096,0.002389299004222953,-9.063619999890614e-05,-6.560040000006818e-05,0.0023866779000004134
